size,time_basic,time_effi,mem_basic,mem_effi
16,0.027,0.028,13104,12976
64,0.223,0.234,12960,12960
128,0.896,0.815,12944,12960
256,3.252,3.041,13072,13088
384,7.241,6.726,13280,13248
512,12.578,12.375,13616,13648
768,31.906,29.865,14592,14560
1024,53.351,52.299,15584,15712
1280,85.509,85.662,16928,17008
1536,116.589,117.719,18496,18512
2048,225.666,220.098,23984,24000
2560,349.234,374.237,29600,29584
3072,506.249,466.186,35152,34928
3584,669.547,691.071,41840,42000
3968,841.109,806.164,44896,45088
